directory,function
attack-damage,"pio(x,9,11.5,2,2)"
pve-damage,"pio(x,9,15,5,5)"
pvp-damage,"round(-70+pio(x,9,10,4,4),2)"
ability@2.duration,"(220+((min(x,9)-1)*20))/100"
ability@1.damage-percent,"(76+((min(x,9)-1)*4))"
ability@1.mana,"(560+((min(x,9)-1)*20))/100"
name,"f""<#FF8C00>Berserker Axe <#6B6666>[{color(x+9)}Lvl.{x+9}<#6B6666>]"""
abilities_lore.3,"f"" &7Cooldown : &e{$ability@1.cooldown$}s&7, Mana Cost : &e{$ability@1.mana$}"""
abilities_lore.2,"f"" &7and stun target for &e{$ability@2.duration$}s"""
abilities_lore.1,"f"" &7Increase the next damage dealt by &e{int($ability@1.damage-percent$)}%"""
