directory,function
attack-damage,"pio(x,14,11.5,2,2)"
critical-strike-chance,"pio(x,14,7,1.5,2)"
critical-strike-power,"pio(x,14,85,1.5,3)"
attack-speed,"(130+(min(x,9)-1)*3)/100"
ability@1.range,"5+(min(x,9)-1)"
ability@1.cooldown,"(500-((min(x,9)-1)*50))/100"
ability@1.chance,"(10+((min(x,9)-1)*5))"
ability@2.range,"10+min(x,9)-1"
ability@2.cooldown,"(1000-((min(x,9)-1)*50))/100"
ability@2.mana,"(1000-((min(x,9)-1)*30))/100"
name,"lambda x,y: f""<#773399>Telemetry <#6B6666>[{color(x+14)}Lvl.{x+14}<#6B6666>]"""
abilities_lore.1,"f"" &7Chance &e{int($ability@1.chance$)}%&7 to apply &6Substitute"""
abilities_lore.3,"f"" &7Max Range : &e{int($ability@1.range$)} blocks"""
abilities_lore.4,"f"" &7Cooldown : &e{$ability@1.cooldown$}s"""
abilities_lore.9,"f"" &7Cooldown : &e{$ability@2.cooldown$}s&7, Mana Cost : &e{$ability@2.mana$}"""
abilities_lore.8,"f"" &7Max Range : &e{int($ability@2.range$)} blocks"""
